Wildhorse,Montana,3323,US-Canada Border,2011,Trucks,119,48.999,-110.215,POINT (-110.215083 48.999361)
Laredo,Texas,2304,US-Mexico Border,2012,Buses,2722,27.500,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,2010,Train Passengers,0,49.000,-108.388,POINT (-108.387916 48.999527)
Alcan,Alaska,3104,US-Canada Border,2011,Personal Vehicles,998,62.615,-141.001,POINT (-141.001444 62.614961)
Massena,New York,0704,US-Canada Border,2010,Trains,0,44.991,-74.740,POINT (-74.739722 44.990556)
Warroad,Minnesota,3423,US-Canada Border,2011,Train Passengers,450,48.999,-95.377,POINT (-95.376555 48.999)
Sweetgrass,Montana,3310,US-Canada Border,2011,Buses,14,48.998,-111.960,POINT (-111.959611 48.998388)
Roosville,Montana,3318,US-Canada Border,2011,Trains,0,49.000,-115.056,POINT (-115.056027 48.999638)
Westhope,North Dakota,3419,US-Canada Border,2010,Trains,0,49.000,-101.017,POINT (-101.017277 48.999611)
Maida,North Dakota,3416,US-Canada Border,2011,Pedestrians,0,49.000,-98.365,POINT (-98.36525 49.00025)
Naco,Arizona,2603,US-Mexico Border,2009,Buses,1,31.334,-109.948,POINT (-109.948413 31.334084)
Limestone,Maine,0118,US-Canada Border,2009,Trucks,296,46.925,-67.790,POINT (-67.789597 46.924555)
Naco,Arizona,2603,US-Mexico Border,2009,Trains,0,31.334,-109.948,POINT (-109.948413 31.334084)
Massena,New York,0704,US-Canada Border,2010,Trucks,2378,44.991,-74.740,POINT (-74.739722 44.990556)
Calexico,California,2503,US-Mexico Border,2010,Buses,0,32.673,-115.388,POINT (-115.388018 32.673389)
Laredo,Texas,2304,US-Mexico Border,2009,Buses,4222,27.500,-99.507,POINT (-99.507412 27.499561)
Roma,Texas,2310,US-Mexico Border,2010,Pedestrians,22900,26.404,-99.019,POINT (-99.018981 26.403928)
Morgan,Montana,3319,US-Canada Border,2009,Train Passengers,0,49.000,-107.832,POINT (-107.831819 48.999829)
Morgan,Montana,3319,US-Canada Border,2009,Trucks,59,49.000,-107.832,POINT (-107.831819 48.999829)
Limestone,Maine,0118,US-Canada Border,2008,Trucks,100,46.925,-67.790,POINT (-67.789597 46.924555)
Warroad,Minnesota,3423,US-Canada Border,2009,Trucks,1071,48.999,-95.377,POINT (-95.376555 48.999)
Roma,Texas,2310,US-Mexico Border,2012,Personal Vehicles,54631,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,2010,Buses,94,62.615,-141.001,POINT (-141.001444 62.614961)
Del Rio,Texas,2302,US-Mexico Border,2010,Buses,1,29.327,-100.928,POINT (-100.927612 29.326784)
Antler,North Dakota,3413,US-Canada Border,2010,Trucks,14,48.999,-101.296,POINT (-101.296055 48.999472)
Noonan,North Dakota,3420,US-Canada Border,2009,Trucks,515,48.999,-103.004,POINT (-103.004361 48.999333)
Roma,Texas,2310,US-Mexico Border,2009,Buses,66,26.404,-99.019,POINT (-99.018981 26.403928)
Richford,Vermont,0203,US-Canada Border,2010,Trains,17,45.012,-72.589,POINT (-72.588559 45.01174)
Alcan,Alaska,3104,US-Canada Border,2009,Buses,3,62.615,-141.001,POINT (-141.001444 62.614961)
Turner,Montana,3306,US-Canada Border,2010,Trains,0,49.000,-108.388,POINT (-108.387916 48.999527)
Del Rio,Texas,2302,US-Mexico Border,2009,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Roma,Texas,2310,US-Mexico Border,2008,Pedestrians,29825,26.404,-99.019,POINT (-99.018981 26.403928)
Portland,Maine,0101,US-Canada Border,2010,Buses,0,43.659,-70.243,POINT (-70.243056 43.659444)
Sweetgrass,Montana,3310,US-Canada Border,2009,Trucks,9727,48.998,-111.960,POINT (-111.959611 48.998388)
Wildhorse,Montana,3323,US-Canada Border,2009,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Morgan,Montana,3319,US-Canada Border,2010,Trains,0,49.000,-107.832,POINT (-107.831819 48.999829)
Wildhorse,Montana,3323,US-Canada Border,2009,Personal Vehicles,707,48.999,-110.215,POINT (-110.215083 48.999361)
Turner,Montana,3306,US-Canada Border,2009,Pedestrians,0,49.000,-108.388,POINT (-108.387916 48.999527)
Wildhorse,Montana,3323,US-Canada Border,2009,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Wildhorse,Montana,3323,US-Canada Border,2009,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Porthill,Idaho,3308,US-Canada Border,2009,Buses,8,49.000,-116.499,POINT (-116.49925 48.999861)
